account_id,year_month,month_index,billing_amount,committed_payment_ratio,revolving_principal_before_payment,scheduled_principal_payment,revolving_fee,ending_carryover_principal,total_payment_amount,minimum_principal_required,actual_principal_paid,revolving_active,payment_status,payment_event
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2026-02,10,756649,0.9354,814047,761485,778,52562,762263,220118,761485,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2026-03,11,768910,0.9365,821472,769335,713,52137,770048,222126,769335,True,정상,normal
b9b0db5f-99b1-40c0-840e-41fc4237aa99,2026-04,12,750635,0.9447,802772,758367,707,44405,759074,217070,758367,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2025-09,1,690052,0.853,690052,588638,0,101414,588638,102266,588638,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2025-10,2,637790,0.7665,739204,566591,1375,172613,567967,109550,566591,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2025-11,3,656621,0.6754,829234,560024,2341,269210,562365,122892,560024,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2025-12,4,642508,0.5891,911718,537091,3651,374627,540742,135117,537091,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-01,5,664301,0.5252,1038928,545678,5081,493250,550758,153969,545678,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-02,6,602703,0.4399,1095953,482107,6689,613846,488797,162420,482107,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-03,7,682530,0.3926,1296376,508921,8325,787455,517246,192123,508921,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-04,8,636956,0.3464,1424411,493399,10679,931012,504078,211098,493399,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-05,9,647214,0.2562,1578226,404287,12626,1173939,416913,233893,404287,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-06,10,595022,0.2027,1768961,358535,15921,1410426,374456,262160,358535,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-07,11,637593,0.1517,2048019,310644,19128,1737375,329772,303516,310644,True,정상,normal
5f329d9c-9681-4e90-9282-ae8c32309cf5,2026-08,12,646841,0.1482,2384216,353341,23562,2030875,376902,353341,353341,True,정상,minimum_only
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-06,1,1361348,0.2179,1361348,296683,0,1064665,296683,282752,296683,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-07,2,1311061,0.2085,2375726,495427,14439,1880299,509866,493438,495427,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-08,3,1367753,0.2105,3248052,683861,25500,2564191,709361,674620,683861,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-09,4,1445595,0.2126,4009786,852385,34775,4009786,887160,832833,0,True,연체,delinquent
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-10,5,1544780,0.2169,5554566,1205005,54379,4349561,1259384,1153683,1205005,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-11,6,1588965,0.2094,5938526,1243653,58987,4694873,1302640,1233432,1243653,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2025-12,7,1587119,0.2108,6281992,1324260,63670,4957732,1387931,1304770,1324260,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2026-01,8,1699714,0.2199,6657446,1463776,67235,5193670,1531011,1382752,1463776,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2026-02,9,1602938,0.2154,6796608,1463801,70435,5384953,1534236,1411655,1411655,True,최소결제,minimum_only
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2026-03,10,1735373,0.2127,7120326,1514512,73029,5605814,1587541,1478892,1514512,True,정상,normal
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2026-04,11,1845594,0.2086,7451408,1554387,76024,5903751,1630411,1547657,1547657,True,최소결제,minimum_only
6578fcaf-b6fe-4c1d-81d0-c4907a9461a9,2026-05,12,1804796,0.2145,7708547,1653712,80065,7708547,1733776,1601065,0,True,연체,delinquent
742caa69-ce93-4b3a-ae00-aeb886080482,2024-11,1,1965740,0.1536,1965740,301867,0,1663873,301867,268913,301867,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2024-12,2,2039739,0.1388,3703612,514240,22565,3189372,536805,506654,514240,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-01,3,2036887,0.1371,5226259,716464,43253,4509795,759717,714952,716464,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-02,4,2170817,0.1377,6680612,920109,61160,5760503,981269,913908,920109,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-03,5,2248363,0.138,8008866,1105206,78122,6903660,1183328,1095613,1105206,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-04,6,2167506,0.1386,9071166,1257190,93625,7813976,1350815,1240936,1257190,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-05,7,2204897,0.1383,10018873,1385406,105970,8633467,1491376,1370582,1385406,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-06,8,2394698,0.1416,11028165,1561837,117084,9466328,1678921,1508653,1561837,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-07,9,2359145,0.1406,11825473,1662856,128379,10162617,1791235,1617725,1662856,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-08,10,2426218,0.1409,12588835,1773734,137822,10866682,1911556,1722153,1722153,True,최소결제,minimum_only
742caa69-ce93-4b3a-ae00-aeb886080482,2025-09,11,2457054,0.1388,13323736,1849279,147370,11474457,1996649,1822687,1849279,True,정상,normal
742caa69-ce93-4b3a-ae00-aeb886080482,2025-10,12,2716317,0.1381,14190774,1960077,155612,12249476,2115690,1941298,1941298,True,최소결제,minimum_only
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-04,1,2445861,0.7766,2445861,1899431,0,546430,1899431,486971,1899431,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-05,2,2515829,0.7174,3062259,2196807,7410,865452,2204217,609696,2196807,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-06,3,2398464,0.6676,3263916,2178872,11737,1085044,2190609,649846,2178872,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-07,4,2343011,0.6432,3428055,2204826,14715,2745529,2219541,682526,682526,True,최소결제,minimum_only
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-08,5,2438354,0.5988,5183883,3104193,37234,2079690,3141427,1032111,3104193,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-09,6,2582190,0.5524,4661880,2575206,28204,2086674,2603410,928180,2575206,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-10,7,2404773,0.5183,4491447,2327867,28299,2163580,2356166,894247,2327867,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-11,8,2491106,0.5004,4654686,2329290,29342,2325396,2358632,926748,2329290,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2025-12,9,2306566,0.4629,4631962,2144178,31536,2487784,2175714,922224,2144178,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2026-01,10,2696241,0.4438,5184025,2300547,33738,2883478,2334285,1032139,2300547,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2026-02,11,2425673,0.412,5309151,2187583,39105,3121568,2226688,1057052,2187583,True,정상,normal
96504fbf-f927-41e3-b935-cdf56bf00c79,2026-03,12,2561404,0.3907,5682972,2220370,42334,3462602,2262704,1131480,2220370,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2024-11,1,796161,0.7903,796161,629177,0,166984,629177,103899,629177,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2024-12,2,863082,0.6814,1030066,701877,2265,328189,704141,134424,701877,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-01,3,862701,0.6295,1190890,749680,4451,1035479,754130,155411,155411,True,최소결제,minimum_only
19e30ff0-d649-4916-ad96-781307cc22ef,2025-02,4,888833,0.5927,1924312,1140529,14043,783783,1154571,251123,1140529,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-03,5,919878,0.5171,1703661,881027,10629,822634,891657,222328,881027,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-04,6,852859,0.4216,1675493,706319,11156,969174,717475,218652,706319,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-05,7,859053,0.3593,1828227,656827,13144,1171400,669971,238584,656827,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-06,8,883197,0.3497,2054597,718514,15886,1336083,734401,268125,718514,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-07,9,822628,0.3036,2158711,655299,18119,1503412,673418,281712,655299,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-08,10,946541,0.2741,2449953,671466,20389,1778487,691854,319719,671466,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-09,11,910125,0.2344,2688612,630083,24119,2058529,654202,350864,630083,True,정상,normal
19e30ff0-d649-4916-ad96-781307cc22ef,2025-10,12,936661,0.2196,2995190,657649,27917,2337541,685566,390872,657649,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-03,1,1384633,0.7665,1384633,1061301,0,323332,1061301,183187,1061301,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-04,2,1502018,0.6675,1825350,1218495,4385,606855,1222880,241494,1218495,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-05,3,1299868,0.5722,1906723,1091085,8230,815638,1099315,252259,1091085,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-06,4,1569317,0.4683,2384955,1116946,11061,1268009,1128007,315530,1116946,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-07,5,1593218,0.3863,2861227,1105321,17196,2482687,1122518,378540,378540,True,최소결제,minimum_only
05f42960-6838-4c99-b4da-6e76d1beec85,2025-08,6,1532769,0.3826,4015456,1536192,33669,2479264,1569861,531245,1536192,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-09,7,1525686,0.3604,4004950,1443240,33623,2561710,1476863,529855,1443240,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-10,8,1533011,0.3118,4094721,1276592,34741,2818129,1311333,541732,1276592,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-11,9,1627692,0.2905,4445821,1291689,38218,3154132,1329907,588182,1291689,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2025-12,10,1495333,0.243,4649465,1129766,42775,3519699,1172542,615124,1129766,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2026-01,11,1702419,0.1987,5222118,1037712,47733,4184406,1085445,690886,1037712,True,정상,normal
05f42960-6838-4c99-b4da-6e76d1beec85,2026-02,12,1580510,0.176,5764916,1014910,56747,4750006,1071657,762698,1014910,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-03,1,2015887,0.7809,2015887,1574105,0,441782,1574105,448333,1574105,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-04,2,2148399,0.7465,2590181,1933470,5991,656711,1939461,576056,1933470,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-05,3,2099789,0.6875,2756500,1895068,8906,861432,1903974,613046,1895068,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-06,4,1953252,0.6578,2814684,1851568,11682,963116,1863250,625986,1851568,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-07,5,2167159,0.6046,3130275,1892438,13061,1237837,1905499,696173,1892438,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-08,6,2091062,0.5622,3328899,1871592,16787,1457307,1888379,740347,1871592,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-09,7,2008898,0.5412,3466205,1875977,19763,1590228,1895741,770884,1875977,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-10,8,1996523,0.5031,3586751,1804449,21566,1782302,1826015,797693,1804449,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-11,9,1996479,0.5055,3778781,1910316,24171,1868465,1934487,840401,1910316,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2025-12,10,1979977,0.4661,3848442,1793813,25339,2054629,1819152,855894,1793813,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2026-01,11,1897359,0.4219,3951988,1667371,27864,2284617,1695235,878922,1667371,True,정상,normal
e70c0f06-83a8-4cb0-bf13-f41523081695,2026-02,12,1995080,0.3818,4279697,1633996,30983,2645701,1664979,951805,1633996,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-04,1,2313931,0.7813,2313931,1807905,0,506026,1807905,353569,1807905,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-05,2,2390379,0.7223,2896405,2092047,6863,804358,2098910,442571,2092047,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-06,3,2354383,0.6676,3158741,2108841,10908,1049900,2119749,482656,2108841,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-07,4,2351810,0.5718,3401710,1945081,14238,1456629,1959320,519781,1945081,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-08,5,2305300,0.5226,3761929,1966073,19754,1795856,1985827,574823,1966073,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-09,6,2316399,0.4688,4112255,1928003,24355,2184252,1952358,628353,1928003,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-10,7,2467948,0.4455,4652200,2072722,29622,2579478,2102344,710856,2072722,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-11,8,2413773,0.4073,4993251,2033554,34982,2959697,2068536,762969,2033554,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2025-12,9,2527079,0.4357,5486776,2390674,40138,3096102,2430812,838379,2390674,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2026-01,10,2468980,0.407,5565082,2264878,41988,3300204,2306867,850345,2264878,True,정상,normal
751a12da-387c-414e-8300-a9755a16046e,2026-02,11,2628934,0.3146,5929138,1865529,44756,5023166,1910285,905972,905972,True,최소결제,minimum_only
751a12da-387c-414e-8300-a9755a16046e,2026-03,12,2855244,0.2959,7878410,2330839,68122,5547571,2398961,1203821,2330839,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-03,1,684183,0.8203,684183,561233,0,122950,561233,92023,561233,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-04,2,770880,0.768,893830,686449,1667,207381,688116,120220,686449,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-05,3,679044,0.6724,886425,596038,2812,290387,598851,119224,596038,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-06,4,727074,0.6507,1017461,662088,3938,355373,666026,136849,662088,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-07,5,782769,0.5903,1138142,671845,4819,466297,676664,153080,671845,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-08,6,689209,0.5743,1155506,663664,6324,491842,669988,155416,663664,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-09,7,672140,0.5857,1163982,681703,6670,482279,688374,156556,681703,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-10,8,721380,0.5765,1203659,693923,6540,1203659,700463,161892,0,True,연체,delinquent
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-11,9,757755,0.5669,1961414,1112009,16324,849405,1128333,263810,1112009,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2025-12,10,750638,0.5421,1600043,867420,11519,732623,878939,215206,867420,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2026-01,11,814824,0.5045,1547447,780634,9936,766813,790570,208132,780634,True,정상,normal
eda4fd09-a930-4889-a5b0-5c220c3c0729,2026-02,12,711029,0.4939,1477842,729934,10399,1477842,740333,198770,0,True,연체,delinquent
1eca9724-f684-451c-9b32-c7c8ff46827a,2025-09,1,2097797,0.8489,2097797,1780734,0,317063,1780734,599970,1780734,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2025-10,2,2206892,0.8084,2523955,2040319,4300,483636,2044619,721851,2040319,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2025-11,3,2107168,0.7649,2590804,1981636,6559,609168,1988195,740970,1981636,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2025-12,4,1911270,0.707,2520438,1782056,8261,1799593,1790317,720845,720845,True,최소결제,minimum_only
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-01,5,1928531,0.6843,3728124,2551235,24405,1176889,2575641,1066243,2551235,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-02,6,2034187,0.6409,3211076,2057960,15961,2292708,2073920,918368,918368,True,최소결제,minimum_only
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-03,7,1966791,0.5982,4259499,2547998,31093,1711501,2579090,1218217,2547998,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-04,8,2075317,0.5655,3786818,2141309,23211,1645509,2164520,1083030,2141309,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-05,9,2030057,0.5408,3675566,1987843,22316,1687723,2010159,1051212,1987843,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-06,10,2228216,0.5074,3915939,1987002,22888,1928937,2009891,1119959,1987002,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-07,11,1990302,0.4901,3919239,1920937,26160,1998302,1947096,1120902,1920937,True,정상,normal
1eca9724-f684-451c-9b32-c7c8ff46827a,2026-08,12,2114065,0.4566,4112367,1877570,27100,2234797,1904670,1176137,1877570,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2025-09,1,1615003,0.1094,1615003,176668,0,1438335,176668,175389,176668,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2025-10,2,1796092,0.1138,3234427,367919,19506,2866508,387425,351259,367919,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2025-11,3,1823475,0.1118,4689983,524356,38875,4165627,563231,509332,524356,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2025-12,4,1714322,0.1092,5879949,642371,56493,5237578,698864,638562,642371,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-01,5,1789286,0.1177,7026864,827060,71030,7026864,898090,763117,0,True,연체,delinquent
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-02,6,1836493,0.1089,8863357,965177,95296,7900796,1060473,962561,962561,True,최소결제,minimum_only
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-03,7,1781501,0.1123,9682297,1087638,107148,8594659,1194785,1051497,1087638,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-04,8,1921436,0.1192,10516095,1253942,116558,9262153,1370500,1142048,1253942,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-05,9,1803287,0.1114,11065440,1232170,125610,9833270,1357780,1201707,1232170,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-06,10,1949924,0.1158,11783194,1364233,133355,10418961,1497588,1279655,1364233,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-07,11,1991934,0.1184,12410895,1469686,141298,10941209,1610984,1347823,1469686,True,정상,normal
ac89e88a-aa41-4902-9824-aee8b5f69016,2026-08,12,2125632,0.1151,13066841,1503983,148381,13066841,1652363,1419059,0,True,연체,delinquent
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-04,1,1226959,0.8363,1226959,1026094,0,200865,1026094,261342,1026094,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-05,2,1215861,0.767,1416726,1086687,2724,330039,1089411,301763,1086687,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-06,3,1207177,0.7433,1537216,1142650,4476,394566,1147126,327427,1142650,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-07,4,1189609,0.6799,1584175,1077083,5351,507092,1082434,337429,1077083,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-08,5,1193392,0.6549,1700484,1113666,6877,586818,1120543,362203,1113666,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-09,6,1381223,0.6027,1968041,1186095,7958,781946,1194053,419193,1186095,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-10,7,1307320,0.5028,2089266,1050535,10604,1038731,1061140,445014,1050535,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-11,8,1268436,0.494,2307167,1139648,14087,1167519,1153735,491427,1139648,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2025-12,9,1204039,0.4809,2371558,1140458,15833,1231100,1156291,505142,1140458,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2026-01,10,1223308,0.4479,2454408,1099298,16696,1355110,1115994,522789,1099298,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2026-02,11,1385060,0.4203,2740170,1151682,18378,1588488,1170060,583656,1151682,True,정상,normal
775c1800-5b82-4d10-acad-87fdbe4a2554,2026-03,12,1349160,0.4099,2937648,1204129,21543,1733519,1225671,625719,1204129,True,정상,normal
938fc2bb-e8b0-4ffd-bca0-41a0ce1d45de,2025-02,1,818129,0.8513,818129,696485,0,121644,696485,171562,696485,True,정상,normal
938fc2bb-e8b0-4ffd-bca0-41a0ce1d45de,2025-03,2,874224,0.8768,995868,873201,1650,122667,874850,208834,873201,True,정상,normal
938fc2bb-e8b0-4ffd-bca0-41a0ce1d45de,2025-04,3,799919,0.8998,922586,830177,1664,92409,831840,193466,830177,True,정상,normal
938fc2bb-e8b0-4ffd-bca0-41a0ce1d45de,2025-05,4,821754,0.8948,914163,817969,1253,96194,819223,191700,817969,True,정상,normal
938fc2bb-e8b0-4ffd-bca0-41a0ce1d45de,2025-06,5,807632,0.8843,903826,799276,1305,104550,800581,189532,799276,True,정상,normal
